cnpj;vl_fatu;vl_sldo;dt_abrt;ds_cnae;dt_refe
CNPJ_00073;1658037;122944;2018-02-22;Fabricação de produtos químicos;2025-01-31
CNPJ_00074;69788;3023;2019-06-18;Transporte rodoviário de carga;2025-01-31
CNPJ_00075;2298109;-223940;2020-12-05;Fabricação de automóveis;2025-01-31
CNPJ_00076;686771;40324;2014-07-14;Administração pública;2025-01-31
CNPJ_00077;203754;26009;2021-08-17;Planos de saúde;2025-01-31
CNPJ_00078;40259354;2902016;2010-05-10;Consultoria empresarial;2025-01-31
CNPJ_00079;71470;-326;2022-08-10;Fabricação de automóveis;2025-01-31
CNPJ_00080;137245;-8875;2019-09-25;Defesa nacional;2025-01-31
CNPJ_00081;58465;1893;2019-12-19;Defesa nacional;2025-01-31
CNPJ_00082;1051801;37385;2022-06-28;Armazenamento geral;2025-01-31
CNPJ_00083;25443324;2473054;2006-01-30;Geração de energia elétrica;2025-01-31
CNPJ_00084;394518;54834;2021-11-02;Comércio atacadista de tecidos;2025-01-31
CNPJ_00085;280618;-28147;2019-01-09;Hotéis e pousadas;2025-01-31
CNPJ_00086;170731677;6880921;1995-08-16;Padaria e confeitaria;2025-01-31
CNPJ_00087;114374372;4590751;2015-02-10;Telecomunicações sem fio;2025-01-31
CNPJ_00088;1656210;-74834;2021-05-04;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00089;2740451;-6961;2021-05-05;Cultivo de milho;2025-01-31
CNPJ_00090;395094;11953;2020-05-15;Telecomunicações sem fio;2025-01-31
CNPJ_00091;1317922;100977;2014-07-17;Administração pública;2025-01-31
CNPJ_00092;11099849;909523;2020-01-15;Educação superior;2025-01-31
CNPJ_00093;434581;58360;2022-09-06;Cultivo de milho;2025-01-31
CNPJ_00094;854335;-53370;2022-08-02;Construção de rodovias;2025-01-31
CNPJ_00095;95709;-6912;2020-03-21;Fabricação de móveis;2025-01-31
CNPJ_00096;1929832;112429;2022-11-27;Produção de alumínio;2025-01-31
CNPJ_00097;221885;-5325;2023-06-08;Produção cinematográfica;2025-01-31
CNPJ_00098;1204408;-97234;2014-07-19;Educação superior;2025-01-31
CNPJ_00099;44548282;743251;2000-04-11;Construção de rodovias;2025-01-31
CNPJ_00100;257727;9038;2022-08-12;Comércio atacadista de bebidas;2025-01-31
CNPJ_00101;259538;3300;2022-12-01;Cultivo de trigo;2025-01-31
CNPJ_00102;107861609;3649957;2007-09-22;Educação superior;2025-01-31
CNPJ_00103;907249;7513;2019-07-19;Transporte ferroviário de carga;2025-01-31
CNPJ_00104;1293041;-114244;2017-04-11;Extração de minério de ferro;2025-01-31
CNPJ_00105;909810;59918;2014-07-28;Comércio atacadista de calçados;2025-01-31
CNPJ_00106;132136375;-11805051;2002-04-16;Fabricação de papel;2025-01-31
CNPJ_00107;420842;199;2021-01-25;Produção de alumínio;2025-01-31
CNPJ_00108;125646;-12155;2023-08-29;Saneamento básico;2025-01-31
CNPJ_00109;160471614;5570310;2012-08-09;Extração de minério de ferro;2025-01-31
CNPJ_00110;435001;-22015;2022-08-22;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00111;1575703;-82003;2015-10-26;Engenharia civil;2025-01-31
CNPJ_00112;29153202;-869413;2012-11-02;Construção de rodovias;2025-01-31
CNPJ_00113;185773139;16706485;2006-07-10;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00114;2072166;19784;2017-05-01;Fabricação de produtos químicos;2025-01-31
CNPJ_00115;221165;8392;2022-01-21;Comércio atacadista de calçados;2025-01-31
CNPJ_00116;106290;-3630;2019-05-09;Transporte rodoviário de carga;2025-01-31
CNPJ_00117;2598726;-18909;2022-03-13;Comércio atacadista de medicamentos;2025-01-31
CNPJ_00118;630718;-22815;2021-10-13;Comércio varejista de alimentos;2025-01-31
CNPJ_00119;2403080;170495;2017-02-17;Hotéis e pousadas;2025-01-31
CNPJ_00120;196797;7038;2020-06-15;Cultivo de soja;2025-01-31
CNPJ_00121;985733;58004;2017-11-21;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00122;7754973;-910634;2018-03-18;Seguros de vida;2025-01-31
CNPJ_00123;284701;-37862;2022-01-11;Montagem industrial;2025-01-31
CNPJ_00124;7929323;578814;2010-02-19;Geração de energia elétrica;2025-01-31
CNPJ_00125;1080210;88236;2022-02-28;Cultivo de soja;2025-01-31
CNPJ_00126;1832892;-105009;2019-05-29;Extração de petróleo e gás natural;2025-01-31
CNPJ_00127;1003331;-146939;2014-11-05;Administração pública;2025-01-31
CNPJ_00128;298196;-20844;2022-08-24;Engenharia civil;2025-01-31
CNPJ_00129;92882;171;2022-02-28;Fabricação de produtos químicos;2025-01-31
CNPJ_00130;238455;9494;2021-09-11;Extração de petróleo e gás natural;2025-01-31
CNPJ_00131;12291356;1204681;2001-08-04;Administração pública;2025-01-31
CNPJ_00132;220552;-13108;2019-03-08;Montagem industrial;2025-01-31
CNPJ_00133;2147430;-210652;2016-04-13;Produção de ferro-gusa;2025-01-31
CNPJ_00134;229059;8048;2023-09-25;Cultivo de soja;2025-01-31
CNPJ_00135;752850;-49960;2016-08-02;Engenharia civil;2025-01-31
CNPJ_00136;234311;4534;2019-12-10;Planos de saúde;2025-01-31
CNPJ_00137;2310663;-31497;2022-04-22;Transporte ferroviário de carga;2025-01-31
CNPJ_00138;28011124;-1839677;2020-03-22;Serviços de tecnologia da informação;2025-01-31
CNPJ_00139;23128916;-1949656;2006-07-10;Comércio varejista de alimentos;2025-01-31
CNPJ_00140;1063710;1323;2018-01-09;Hotéis e pousadas;2025-01-31
CNPJ_00141;1988174;-36989;2021-10-14;Fabricação de produtos químicos;2025-01-31
CNPJ_00142;915301;62046;2016-04-05;Hotéis e pousadas;2025-01-31
CNPJ_00143;19152162;245608;2005-12-09;Construção de edifícios;2025-01-31
CNPJ_00144;2733257;10910;2014-08-26;Fabricação de papel;2025-01-31
CNPJ_00145;86396;-7465;2023-10-31;Fabricação de produtos químicos;2025-01-31
CNPJ_00146;1627349;64938;2016-10-15;Administração pública;2025-01-31
CNPJ_00147;658309;53598;2020-07-01;Comércio varejista de alimentos;2025-01-31
CNPJ_00148;833962;117025;2021-04-30;Comércio atacadista de alimentos;2025-01-31
CNPJ_00149;74389;1160;2019-09-01;Produção cinematográfica;2025-01-31
CNPJ_00150;182886;3163;2020-04-16;Televisão por assinatura;2025-01-31
CNPJ_00151;286444;6846;2020-04-28;Serviços de tecnologia da informação;2025-01-31
CNPJ_00152;77111;2834;2022-02-04;Comércio atacadista de bebidas;2025-01-31
CNPJ_00153;2133202;-156592;2017-06-20;Cultivo de trigo;2025-01-31
CNPJ_00154;283402;-27416;2021-12-21;Cultivo de trigo;2025-01-31
CNPJ_00155;64974193;3136021;1999-04-30;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00156;1110561;-52609;2020-11-20;Administração pública;2025-01-31
CNPJ_00157;264594;-12561;2021-03-06;Consultoria empresarial;2025-01-31
CNPJ_00158;143378;-12825;2021-05-21;Fabricação de automóveis;2025-01-31
CNPJ_00159;102391273;77004;2015-04-22;Administração pública;2025-01-31
CNPJ_00160;777923;-65301;2018-07-26;Administração pública;2025-01-31
CNPJ_00161;49215617;2605548;2008-07-29;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00162;1262171;-60339;2019-06-26;Restaurantes e similares;2025-01-31
CNPJ_00163;2127450;-69500;2022-01-03;Telecomunicações sem fio;2025-01-31
CNPJ_00164;6986436;184816;2011-12-20;Comércio atacadista de calçados;2025-01-31
CNPJ_00165;5832040;-180644;2020-05-24;Cultivo de milho;2025-01-31
CNPJ_00166;62217;-2915;2022-04-08;Comércio atacadista de tecidos;2025-01-31
CNPJ_00167;23230413;-918453;2008-03-25;Comércio atacadista de tecidos;2025-01-31
CNPJ_00168;17866422;555369;2017-01-18;Comércio varejista de alimentos;2025-01-31
CNPJ_00169;10850676;658696;2009-03-29;Comércio varejista de alimentos;2025-01-31
CNPJ_00170;937210;-110635;2020-01-03;Atividades de bancos múltiplos;2025-01-31
CNPJ_00171;164306317;9229778;2000-07-23;Comércio atacadista de tecidos;2025-01-31
CNPJ_00172;248407;-26676;2021-03-21;Planos de saúde;2025-01-31
CNPJ_00173;26729033;1579620;2020-03-31;Montagem industrial;2025-01-31
CNPJ_00174;1787948;-100792;2020-09-17;Montagem industrial;2025-01-31
CNPJ_00175;126779209;-3947823;1998-12-16;Comércio atacadista de alimentos;2025-01-31
CNPJ_00176;19946776;-525690;2015-05-12;Comércio atacadista de alimentos;2025-01-31
CNPJ_00177;127779904;7903508;2013-07-06;Transporte rodoviário de carga;2025-01-31
CNPJ_00178;307124;-7699;2019-12-29;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00179;6003576;102273;2012-01-23;Televisão por assinatura;2025-01-31
CNPJ_00180;1037505;-15982;2019-10-25;Restaurantes e similares;2025-01-31
CNPJ_00181;328709;-22389;2016-07-07;Comércio atacadista de tecidos;2025-01-31
CNPJ_00182;2637685;-85519;2015-12-16;Comércio atacadista de calçados;2025-01-31
CNPJ_00183;2586974;870;2020-12-27;Produção cinematográfica;2025-01-31
CNPJ_00184;101444;848;2020-12-30;Hotéis e pousadas;2025-01-31
CNPJ_00185;129274;-10453;2020-12-20;Comércio atacadista de alimentos;2025-01-31
CNPJ_00186;637476;66249;2020-06-14;Fabricação de automóveis;2025-01-31
CNPJ_00187;2649171;11177;2017-08-18;Comércio atacadista de tecidos;2025-01-31
CNPJ_00188;192178;-19150;2021-11-25;Produção de ferro-gusa;2025-01-31
CNPJ_00189;628093;35613;2017-02-18;Produção de alumínio;2025-01-31
CNPJ_00190;955011;90244;2016-07-15;Cultivo de trigo;2025-01-31
CNPJ_00191;13231303;41933;2011-11-08;Fabricação de papel;2025-01-31
CNPJ_00192;1829924;-19;2019-08-21;Televisão por assinatura;2025-01-31
CNPJ_00193;53028563;5294955;2014-04-28;Educação superior;2025-01-31
CNPJ_00194;69218;-1265;2022-12-19;Cultivo de soja;2025-01-31
CNPJ_00195;299285;18505;2019-12-03;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00196;2280534;-204304;2017-12-15;Fabricação de produtos químicos;2025-01-31
CNPJ_00197;217461;1337;2023-10-01;Defesa nacional;2025-01-31
CNPJ_00198;66706;3794;2022-10-04;Comércio atacadista de calçados;2025-01-31
CNPJ_00199;2139129;-209549;2014-08-21;Fabricação de móveis;2025-01-31
CNPJ_00200;2696516;266472;2020-11-02;Produção de ferro-gusa;2025-01-31
CNPJ_00201;1580214;122922;2017-11-20;Comércio atacadista de bebidas;2025-01-31
CNPJ_00202;2143872;-198666;2018-02-04;Montagem industrial;2025-01-31
CNPJ_00203;12808554;522269;2001-02-01;Correios e entregas expressas;2025-01-31
CNPJ_00204;2797658;118405;2020-06-28;Construção de edifícios;2025-01-31
CNPJ_00205;297080;18538;2023-04-26;Produção de alumínio;2025-01-31
CNPJ_00206;1769071;-34123;2021-01-19;Serviços de tecnologia da informação;2025-01-31
CNPJ_00207;104695;-6876;2023-11-26;Saneamento básico;2025-01-31
CNPJ_00208;29348256;-2036519;2000-06-03;Produção de alumínio;2025-01-31
CNPJ_00209;22750019;-440599;2008-08-04;Planos de saúde;2025-01-31
CNPJ_00210;2052618;102884;2016-11-11;Construção de rodovias;2025-01-31
CNPJ_00211;25162853;2679361;2004-03-24;Comércio atacadista de medicamentos;2025-01-31
CNPJ_00212;1830147;33468;2019-03-02;Serviços de tecnologia da informação;2025-01-31
CNPJ_00213;4032387;-11261;2021-06-19;Cultivo de trigo;2025-01-31
CNPJ_00214;239989;20119;2020-05-26;Cultivo de arroz;2025-01-31
CNPJ_00215;360213;-27989;2017-02-15;Atividades hospitalares;2025-01-31
CNPJ_00216;513849;-48734;2018-02-16;Saneamento básico;2025-01-31
CNPJ_00217;167284;5924;2022-05-13;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00218;1458755;-116381;2014-08-28;Restaurantes e similares;2025-01-31
CNPJ_00219;1041842;60439;2016-08-20;Televisão aberta;2025-01-31
CNPJ_00220;1411522;-185138;2016-02-14;Seguros de vida;2025-01-31
CNPJ_00221;1134149;-82811;2016-01-25;Atividades de bancos múltiplos;2025-01-31
CNPJ_00222;275029;-22546;2022-03-01;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00223;1031151;38159;2019-08-10;Transporte rodoviário de carga;2025-01-31
CNPJ_00224;27899422;-2279953;2003-08-21;Montagem industrial;2025-01-31
CNPJ_00225;2930207;177887;2022-03-25;Televisão por assinatura;2025-01-31
CNPJ_00226;2084322;177978;2018-01-09;Cultivo de arroz;2025-01-31
CNPJ_00227;62641;-2734;2023-07-16;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00228;1566356;39800;2017-07-28;Consultoria empresarial;2025-01-31
CNPJ_00229;187382;-11197;2022-10-07;Comércio atacadista de calçados;2025-01-31
CNPJ_00230;196792;-8089;2019-12-22;Telecomunicações sem fio;2025-01-31
CNPJ_00231;2360178;29177;2020-09-16;Transporte rodoviário de carga;2025-01-31
CNPJ_00232;175491282;-7448217;2001-01-12;Comércio varejista de combustíveis;2025-01-31
CNPJ_00233;3995873;103864;2019-08-16;Serviços de tecnologia da informação;2025-01-31
CNPJ_00234;293542;-4735;2023-11-19;Produção cinematográfica;2025-01-31
CNPJ_00235;1606964;184987;2021-08-10;Cultivo de arroz;2025-01-31
CNPJ_00236;541209;-33554;2019-01-08;Padaria e confeitaria;2025-01-31
CNPJ_00237;146394;-5589;2022-01-05;Cultivo de milho;2025-01-31
CNPJ_00238;26555785;-715557;2010-09-03;Seguros de vida;2025-01-31
CNPJ_00239;2966843;-138623;2017-12-15;Hotéis e pousadas;2025-01-31
CNPJ_00240;122905;5951;2023-12-15;Comércio atacadista de calçados;2025-01-31
CNPJ_00241;216092;5266;2019-12-01;Comércio varejista de combustíveis;2025-01-31
CNPJ_00242;2428276;32395;2018-09-11;Armazenamento geral;2025-01-31
CNPJ_00243;2953832;-195168;2018-08-09;Extração de petróleo e gás natural;2025-01-31
CNPJ_00244;1436618;85059;2020-01-29;Hotéis e pousadas;2025-01-31
CNPJ_00245;2026716;-150292;2019-01-06;Cultivo de arroz;2025-01-31
CNPJ_00246;80516;1379;2023-08-23;Fabricação de móveis;2025-01-31
CNPJ_00247;2155747;-139595;2015-05-27;Construção de rodovias;2025-01-31
CNPJ_00248;2630684;54056;2020-07-17;Televisão aberta;2025-01-31
CNPJ_00249;13446192;-712921;2005-12-28;Televisão por assinatura;2025-01-31
CNPJ_00250;162060;-10488;2023-06-27;Televisão aberta;2025-01-31
CNPJ_00251;170822;19084;2020-02-06;Televisão aberta;2025-01-31
CNPJ_00252;2709288;-210031;2021-05-04;Atividades hospitalares;2025-01-31
CNPJ_00253;1053114;80509;2014-11-14;Construção de edifícios;2025-01-31
CNPJ_00254;195103;5784;2023-03-04;Construção de barragens;2025-01-31
CNPJ_00255;750769;27007;2018-05-02;Transporte rodoviário de carga;2025-01-31
CNPJ_00256;106812;-8866;2021-10-03;Restaurantes e similares;2025-01-31
CNPJ_00257;508160;32531;2015-09-18;Extração de minério de ferro;2025-01-31
CNPJ_00258;2520676;-169049;2016-02-06;Comércio varejista de alimentos;2025-01-31
CNPJ_00259;233772;-5340;2021-12-13;Hotéis e pousadas;2025-01-31
CNPJ_00260;219629;-14327;2021-01-25;Comércio atacadista de calçados;2025-01-31
CNPJ_00261;958311;-52782;2020-11-10;Engenharia civil;2025-01-31
CNPJ_00262;332020;-10183;2018-08-19;Telecomunicações sem fio;2025-01-31
CNPJ_00263;1276873;-14072;2015-02-11;Comércio varejista de alimentos;2025-01-31
CNPJ_00264;20454396;1066931;2004-04-25;Extração de petróleo e gás natural;2025-01-31
CNPJ_00265;639519;23249;2018-05-26;Cultivo de arroz;2025-01-31
CNPJ_00266;1349424;-70755;2014-12-20;Produção de ferro-gusa;2025-01-31
CNPJ_00267;194144;-24682;2019-12-18;Fabricação de automóveis;2025-01-31
CNPJ_00268;196285;3322;2022-06-29;Extração de minério de ferro;2025-01-31
CNPJ_00269;2379389;-202555;2021-02-06;Comércio varejista de combustíveis;2025-01-31
CNPJ_00270;132439792;2924254;2011-06-04;Educação superior;2025-01-31
CNPJ_00271;60093;8339;2023-04-13;Telecomunicações sem fio;2025-01-31
CNPJ_00272;997978;-24703;2017-11-20;Padaria e confeitaria;2025-01-31
CNPJ_00273;1560843;-120536;2021-04-12;Planos de saúde;2025-01-31
CNPJ_00274;6836857;464790;2011-04-30;Comércio atacadista de bebidas;2025-01-31
CNPJ_00275;488674;-21293;2016-12-27;Fabricação de automóveis;2025-01-31
CNPJ_00276;322793;-13709;2022-06-08;Fabricação de móveis;2025-01-31
CNPJ_00277;78060;2894;2020-04-16;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00278;1077654;-17177;2014-02-10;Cultivo de soja;2025-01-31
CNPJ_00279;648019;-8847;2020-11-12;Seguros de vida;2025-01-31
CNPJ_00280;2120562;-171422;2022-07-11;Restaurantes e similares;2025-01-31
CNPJ_00281;61285121;-1933187;2008-11-24;Comércio atacadista de alimentos;2025-01-31
CNPJ_00282;919729;16625;2017-01-31;Defesa nacional;2025-01-31
CNPJ_00283;263697;-9991;2021-04-27;Cultivo de soja;2025-01-31
CNPJ_00284;13358618;-1171303;2014-10-28;Comércio atacadista de alimentos;2025-01-31
CNPJ_00285;960994;24779;2022-07-01;Cultivo de soja;2025-01-31
CNPJ_00286;64487194;-3765089;2005-01-20;Produção de alumínio;2025-01-31
CNPJ_00287;1709146;51461;2019-06-02;Extração de petróleo e gás natural;2025-01-31
CNPJ_00288;2581326;36815;2018-11-20;Cultivo de trigo;2025-01-31
CNPJ_00289;184582038;-6343646;2010-05-27;Hotéis e pousadas;2025-01-31
CNPJ_00290;134472;-13781;2023-01-12;Consultoria empresarial;2025-01-31
CNPJ_00291;1969178;-37735;2018-05-27;Padaria e confeitaria;2025-01-31
CNPJ_00292;22394107;-1426443;2018-08-30;Telecomunicações sem fio;2025-01-31
CNPJ_00293;6891086;-316727;2018-05-06;Extração de minério de ferro;2025-01-31
CNPJ_00294;1685920;-107814;2016-02-22;Armazenamento geral;2025-01-31
CNPJ_00295;138747;11724;2022-12-25;Comércio varejista de combustíveis;2025-01-31
CNPJ_00296;29929481;-2950030;2006-09-04;Comércio atacadista de tecidos;2025-01-31
CNPJ_00297;66102;-1787;2020-06-21;Seguros de vida;2025-01-31
CNPJ_00298;2324976;86175;2020-11-20;Educação superior;2025-01-31
CNPJ_00299;1425564;-51485;2020-06-09;Defesa nacional;2025-01-31
CNPJ_00300;1995451;-92063;2021-01-16;Cultivo de arroz;2025-01-31
CNPJ_00301;108203;6516;2021-10-14;Distribuição de energia elétrica;2025-01-31
CNPJ_00302;1657789;-163774;2014-04-09;Comércio varejista de alimentos;2025-01-31
CNPJ_00303;1069884;-57592;2019-11-03;Cultivo de trigo;2025-01-31
CNPJ_00304;2053973;48995;2014-08-02;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00305;171599;-9510;2022-10-03;Saneamento básico;2025-01-31
CNPJ_00306;517644;-46023;2022-03-03;Seguros de vida;2025-01-31
CNPJ_00307;1479743;-96512;2014-02-22;Hotéis e pousadas;2025-01-31
CNPJ_00308;120404;9524;2021-09-12;Produção cinematográfica;2025-01-31
CNPJ_00309;15101344;68287;2018-04-27;Planos de saúde;2025-01-31
CNPJ_00310;1478700;56596;2021-07-28;Transporte ferroviário de carga;2025-01-31
CNPJ_00311;1020853;-6500;2021-12-28;Transporte rodoviário de carga;2025-01-31
CNPJ_00312;2685280;227823;2021-04-17;Transporte ferroviário de carga;2025-01-31
CNPJ_00313;2950516;69268;2018-06-20;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00314;89149003;715791;2014-07-29;Extração de minério de ferro;2025-01-31
CNPJ_00315;1870537;-79433;2020-02-15;Defesa nacional;2025-01-31
CNPJ_00316;2125310;-155425;2021-08-29;Comércio atacadista de alimentos;2025-01-31
CNPJ_00317;118815277;11121572;2013-08-16;Serviços de tecnologia da informação;2025-01-31
CNPJ_00318;1298642;-115655;2019-09-13;Obras de infraestrutura elétrica;2025-01-31
CNPJ_00319;194842029;15011272;2009-04-01;Televisão por assinatura;2025-01-31
CNPJ_00320;137282;-15516;2023-02-13;Atividades hospitalares;2025-01-31
CNPJ_00321;510738;-50501;2022-07-13;Geração de energia elétrica;2025-01-31
CNPJ_00322;2614474;158156;2022-02-05;Produção de ferro-gusa;2025-01-31
CNPJ_00323;2904689;41964;2019-10-22;Distribuição de energia elétrica;2025-01-31
CNPJ_00324;13983361;-763005;2011-06-20;Administração pública;2025-01-31
CNPJ_00325;277681;-7306;2021-08-30;Produção de ferro-gusa;2025-01-31
CNPJ_00326;2616658;177726;2016-10-11;Transporte ferroviário de carga;2025-01-31
CNPJ_00327;176562;7979;2023-08-05;Hotéis e pousadas;2025-01-31
CNPJ_00328;165320717;-13628291;2005-05-19;Engenharia civil;2025-01-31
CNPJ_00329;81186;4347;2021-11-21;Distribuição de energia elétrica;2025-01-31
CNPJ_00330;2391686;-615;2019-06-23;Transporte ferroviário de carga;2025-01-31
CNPJ_00331;26533274;1492761;2020-02-01;Comércio varejista de alimentos;2025-01-31
CNPJ_00332;2603891;-183819;2021-09-02;Produção de alumínio;2025-01-31
CNPJ_00333;15299573;-1713275;2012-07-22;Construção de edifícios;2025-01-31
CNPJ_00334;1386676;-61113;2017-06-09;Correios e entregas expressas;2025-01-31
CNPJ_00335;1621800;131483;2016-12-26;Televisão por assinatura;2025-01-31
CNPJ_00336;233568;14625;2022-01-28;Fabricação de caminhões e ônibus;2025-01-31
CNPJ_00337;2890534;-43086;2018-01-24;Distribuição de energia elétrica;2025-01-31
CNPJ_00338;80806;-5756;2021-06-07;Construção de rodovias;2025-01-31
CNPJ_00339;2476726;5348;2018-06-26;Fabricação de produtos químicos;2025-01-31
