# Data structure
# 1. ID Sender: Unique identifier for the sender
# 2. ID Reciever: Unique identifier for the receiver
# 3. Value of the transaction
# 4. Date: Date of the transaction
id, id_sender, id_reciever, value, type, date
58, CNPJ_01985, CNPJ_01982, R$ 6,884.00, PIX, 2025-06-19
59, CNPJ_03888, CNPJ_00258, R$ 7,991.00, SISTEMICO, 2025-06-20
60, CNPJ_00991, CNPJ_01982, R$ 10,654.00, TED, 2025-06-21
61, CNPJ_02247, CNPJ_03888, R$ 8,432.00, BOLETO, 2025-06-22
62, CNPJ_01673, CNPJ_01381, R$ 5,210.00, PIX, 2025-06-23
63, CNPJ_01982, CNPJ_00991, R$ 9,345.00, SISTEMICO, 2025-06-24
64, CNPJ_00258, CNPJ_01646, R$ 6,789.00, PIX, 2025-06-25
65, CNPJ_01381, CNPJ_02651, R$ 4,987.00, TED, 2025-06-26
66, CNPJ_01646, CNPJ_01985, R$ 11,221.00, BOLETO, 2025-06-27
67, CNPJ_02651, CNPJ_03888, R$ 7,553.00, PIX, 2025-06-28
68, CNPJ_01985, CNPJ_02247, R$ 8,664.00, SISTEMICO, 2025-06-29
69, CNPJ_03888, CNPJ_01673, R$ 5,432.00, PIX, 2025-06-30
70, CNPJ_00991, CNPJ_02651, R$ 6,987.00, TED, 2025-07-01
71, CNPJ_02247, CNPJ_01985, R$ 12,345.00, BOLETO, 2025-07-02
72, CNPJ_01673, CNPJ_00991, R$ 7,654.00, PIX, 2025-07-03
73, CNPJ_01982, CNPJ_03888, R$ 5,987.00, SISTEMICO, 2025-07-04
74, CNPJ_00258, CNPJ_01381, R$ 8,210.00, PIX, 2025-07-05
75, CNPJ_01381, CNPJ_01982, R$ 9,432.00, TED, 2025-07-06
76, CNPJ_01646, CNPJ_02247, R$ 6,111.00, BOLETO, 2025-07-07
77, CNPJ_02651, CNPJ_01673, R$ 7,654.00, PIX, 2025-07-08
78, CNPJ_01985, CNPJ_00991, R$ 10,223.00, SISTEMICO, 2025-07-09
79, CNPJ_03888, CNPJ_02651, R$ 5,987.00, PIX, 2025-07-10
80, CNPJ_00991, CNPJ_01381, R$ 6,789.00, TED, 2025-07-11
81, CNPJ_02247, CNPJ_01982, R$ 8,432.00, BOLETO, 2025-07-12
82, CNPJ_01673, CNPJ_03888, R$ 9,211.00, PIX, 2025-07-13
83, CNPJ_01982, CNPJ_01646, R$ 5,876.00, SISTEMICO, 2025-07-14
84, CNPJ_00258, CNPJ_02247, R$ 7,432.00, PIX, 2025-07-15
85, CNPJ_01381, CNPJ_01985, R$ 6,543.00, TED, 2025-07-16
86, CNPJ_01646, CNPJ_00991, R$ 11,210.00, BOLETO, 2025-07-17
87, CNPJ_02651, CNPJ_03888, R$ 8,654.00, PIX, 2025-07-18
88, CNPJ_01985, CNPJ_01381, R$ 7,987.00, SISTEMICO, 2025-07-19
89, CNPJ_03888, CNPJ_01673, R$ 6,432.00, PIX, 2025-07-20
90, CNPJ_00294, CNPJ_03034, R$ 5,432.00, PIX, 2025-07-21
91, CNPJ_03034, CNPJ_03469, R$ 8,210.00, TED, 2025-07-22
92, CNPJ_03469, CNPJ_07719, R$ 6,987.00, BOLETO, 2025-07-23
93, CNPJ_07719, CNPJ_08158, R$ 4,321.00, PIX, 2025-07-24
94, CNPJ_08158, CNPJ_08253, R$ 7,654.00, SISTEMICO, 2025-07-25
95, CNPJ_08253, CNPJ_00294, R$ 5,987.00, PIX, 2025-07-26
96, CNPJ_00294, CNPJ_03469, R$ 6,432.00, TED, 2025-07-27
97, CNPJ_03034, CNPJ_07719, R$ 8,111.00, BOLETO, 2025-07-28
98, CNPJ_03469, CNPJ_08253, R$ 7,543.00, PIX, 2025-07-29
99, CNPJ_07719, CNPJ_00294, R$ 5,876.00, SISTEMICO, 2025-07-30

